MAPS CLERMONT SIV CLERMONT               N046.13.46.000 E002.30.00.000 N046.15.35.000 E002.35.20.000 COLOR_CFE-SIV
                                         N044.52.33.000 E003.17.00.000 N044.52.33.000 E003.17.00.000 COLOR_CFE-SIV
                                         N044.52.33.000 E003.17.00.000 N044.52.33.000 E003.02.55.000 COLOR_CFE-SIV
                                         N044.52.33.000 E003.02.55.000 N044.52.33.000 E003.02.55.000 COLOR_CFE-SIV
                                         N044.52.33.000 E003.02.55.000 N044.53.04.000 E003.01.57.000 COLOR_CFE-SIV
                                         N044.53.04.000 E003.01.57.000 N044.53.04.000 E003.01.57.000 COLOR_CFE-SIV
                                         N044.53.04.000 E003.01.57.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-SIV
                                         N045.10.00.000 E002.30.00.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-SIV
                                         N045.10.00.000 E002.30.00.000 N045.10.00.000 E002.36.17.000 COLOR_CFE-SIV
                                         N045.10.00.000 E002.36.17.000 N045.10.00.000 E002.36.17.000 COLOR_CFE-SIV
                                         N045.10.00.000 E002.36.17.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-SIV
                                         N045.13.24.000 E003.01.16.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-SIV
                                         N045.13.24.000 E003.01.16.000 N045.34.54.000 E004.06.32.000 COLOR_CFE-SIV
                                         N045.26.10.000 E002.30.00.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-SIV
                                         N045.10.00.000 E002.30.00.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-SIV
                                         N045.10.00.000 E002.30.00.000 N044.53.04.000 E003.01.57.000 COLOR_CFE-SIV
                                         N044.53.04.000 E003.01.57.000 N044.53.04.000 E003.01.57.000 COLOR_CFE-SIV
                                         N044.53.04.000 E003.01.57.000 N044.37.29.000 E003.02.28.000 COLOR_CFE-SIV
                                         N044.37.29.000 E003.02.28.000 N044.37.29.000 E003.02.28.000 COLOR_CFE-SIV
                                         N044.37.29.000 E003.02.28.000 N044.01.33.000 E002.49.22.000 COLOR_CFE-SIV
                                         N044.01.33.000 E002.49.22.000 N044.01.33.000 E002.49.22.000 COLOR_CFE-SIV
                                         N044.01.33.000 E002.49.22.000 N044.03.30.000 E002.36.20.000 COLOR_CFE-SIV
                                         N044.03.30.000 E002.36.20.000 N044.03.30.000 E002.36.20.000 COLOR_CFE-SIV
                                         N044.03.30.000 E002.36.20.000 N044.10.00.000 E001.51.30.000 COLOR_CFE-SIV
                                         N044.10.00.000 E001.51.30.000 N044.10.00.000 E001.51.30.000 COLOR_CFE-SIV
                                         N044.10.00.000 E001.51.30.000 N044.17.36.000 E001.48.16.000 COLOR_CFE-SIV
                                         N044.17.36.000 E001.48.16.000 N044.17.36.000 E001.48.16.000 COLOR_CFE-SIV
                                         N044.17.36.000 E001.48.16.000 N044.17.43.000 E001.44.56.000 COLOR_CFE-SIV
                                         N044.17.43.000 E001.44.56.000 N044.17.43.000 E001.44.56.000 COLOR_CFE-SIV
                                         N044.17.43.000 E001.44.56.000 N044.20.46.000 E001.01.32.000 COLOR_CFE-SIV
                                         N044.20.46.000 E001.01.32.000 N044.20.46.000 E001.01.32.000 COLOR_CFE-SIV
                                         N044.20.46.000 E001.01.32.000 N044.30.00.000 E001.02.13.000 COLOR_CFE-SIV
                                         N044.30.00.000 E001.02.13.000 N044.30.00.000 E001.02.13.000 COLOR_CFE-SIV
                                         N044.30.00.000 E001.02.13.000 N044.44.52.000 E001.03.28.000 COLOR_CFE-SIV
                                         N044.44.52.000 E001.03.28.000 N044.44.52.000 E001.03.28.000 COLOR_CFE-SIV
                                         N044.44.52.000 E001.03.28.000 N044.46.49.000 E001.28.39.000 COLOR_CFE-SIV
                                         N044.46.49.000 E001.28.39.000 N044.46.49.000 E001.28.39.000 COLOR_CFE-SIV
                                         N044.46.49.000 E001.28.39.000 N044.45.34.000 E002.00.00.000 COLOR_CFE-SIV
                                         N044.45.34.000 E002.00.00.000 N044.45.34.000 E002.00.00.000 COLOR_CFE-SIV
                                         N044.45.34.000 E002.00.00.000 N045.18.56.000 E002.00.00.000 COLOR_CFE-SIV
                                         N045.18.56.000 E002.00.00.000 N045.18.56.000 E002.00.00.000 COLOR_CFE-SIV
                                         N045.18.56.000 E002.00.00.000 N045.26.10.000 E002.30.00.000 COLOR_CFE-SIV
