MAPS CLERMONT CTR CLERMONT               N045.53.29.000 E003.11.51.000 N045.51.41.000 E003.22.51.000 COLOR_CFE-CTR
                                         N045.50.56.000 E003.02.09.000 N045.50.56.000 E003.02.09.000 COLOR_CFE-CTR
                                         N045.50.56.000 E003.02.09.000 N045.50.58.834 E003.02.12.846 COLOR_CFE-CTR
                                         N045.50.58.834 E003.02.12.846 N045.50.58.834 E003.02.12.846 COLOR_CFE-CTR
                                         N045.50.58.834 E003.02.12.846 N045.51.45.397 E003.03.09.803 COLOR_CFE-CTR
                                         N045.51.45.397 E003.03.09.803 N045.51.45.397 E003.03.09.803 COLOR_CFE-CTR
                                         N045.51.45.397 E003.03.09.803 N045.52.25.173 E003.04.16.491 COLOR_CFE-CTR
                                         N045.52.25.173 E003.04.16.491 N045.52.25.173 E003.04.16.491 COLOR_CFE-CTR
                                         N045.52.25.173 E003.04.16.491 N045.52.57.181 E003.05.31.268 COLOR_CFE-CTR
                                         N045.52.57.181 E003.05.31.268 N045.52.57.181 E003.05.31.268 COLOR_CFE-CTR
                                         N045.52.57.181 E003.05.31.268 N045.53.20.626 E003.06.52.293 COLOR_CFE-CTR
                                         N045.53.20.626 E003.06.52.293 N045.53.20.626 E003.06.52.293 COLOR_CFE-CTR
                                         N045.53.20.626 E003.06.52.293 N045.53.34.930 E003.08.17.570 COLOR_CFE-CTR
                                         N045.53.34.930 E003.08.17.570 N045.53.34.930 E003.08.17.570 COLOR_CFE-CTR
                                         N045.53.34.930 E003.08.17.570 N045.53.39.738 E003.09.45.000 COLOR_CFE-CTR
                                         N045.53.39.738 E003.09.45.000 N045.53.39.738 E003.09.45.000 COLOR_CFE-CTR
                                         N045.53.39.738 E003.09.45.000 N045.53.34.930 E003.11.12.431 COLOR_CFE-CTR
                                         N045.53.34.930 E003.11.12.431 N045.53.34.930 E003.11.12.431 COLOR_CFE-CTR
                                         N045.53.34.930 E003.11.12.431 N045.53.29.000 E003.11.51.000 COLOR_CFE-CTR
