MAPS CLERMONT CTA CLERMONT               N046.13.46.000 E002.30.00.000 N046.15.35.000 E002.35.20.000 COLOR_CFE-CTA
                                         N044.46.49.000 E001.28.39.000 N044.45.34.000 E002.00.00.000 COLOR_CFE-CTA
                                         N044.45.34.000 E002.00.00.000 N044.45.34.000 E002.00.00.000 COLOR_CFE-CTA
                                         N044.45.34.000 E002.00.00.000 N045.18.56.000 E002.00.00.000 COLOR_CFE-CTA
                                         N045.18.56.000 E002.00.00.000 N045.18.56.000 E002.00.00.000 COLOR_CFE-CTA
                                         N045.18.56.000 E002.00.00.000 N045.26.10.000 E002.30.00.000 COLOR_CFE-CTA
                                         N045.26.10.000 E002.30.00.000 N045.26.10.000 E002.30.00.000 COLOR_CFE-CTA
                                         N045.26.10.000 E002.30.00.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-CTA
                                         N045.10.00.000 E002.30.00.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-CTA
                                         N045.10.00.000 E002.30.00.000 N045.10.00.000 E002.36.17.000 COLOR_CFE-CTA
                                         N045.10.00.000 E002.36.17.000 N045.10.00.000 E002.36.17.000 COLOR_CFE-CTA
                                         N045.10.00.000 E002.36.17.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-CTA
                                         N045.13.24.000 E003.01.16.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-CTA
                                         N045.13.24.000 E003.01.16.000 N045.34.54.000 E004.06.32.000 COLOR_CFE-CTA
