REGIONNAME MAPS IRMA NICE CONE ILS 05
COLOR_NCE-Cone                    N042.56.26.414 E005.53.03.764
                                  N042.54.28.382 E005.52.47.740
                                  N042.50.49.950 E005.52.18.110
                                  N042.50.50.097 E005.52.09.880
                                  N042.50.50.348 E005.52.01.655
                                  N042.50.50.703 E005.51.53.437
                                  N042.50.51.163 E005.51.45.229
                                  N042.50.51.727 E005.51.37.034
                                  N042.50.52.396 E005.51.28.852
                                  N042.50.53.168 E005.51.20.688
                                  N042.50.54.044 E005.51.12.543
                                  N042.50.55.023 E005.51.04.420
                                  N042.50.56.105 E005.50.56.322
                                  N042.50.57.290 E005.50.48.250
                                  N042.50.58.578 E005.50.40.208
                                  N042.50.59.968 E005.50.32.197
                                  N042.51.01.459 E005.50.24.220
                                  N042.51.03.051 E005.50.16.280
                                  N042.51.04.744 E005.50.08.378
                                  N042.51.06.537 E005.50.00.518
                                  N042.51.08.430 E005.49.52.702
                                  N042.51.10.422 E005.49.44.931
                                  N042.51.12.512 E005.49.37.209
                                  N042.51.14.701 E005.49.29.537
                                  N042.51.16.986 E005.49.21.918
                                  N042.51.19.368 E005.49.14.354
                                  N042.51.21.845 E005.49.06.848
                                  N042.51.24.418 E005.48.59.402
                                  N042.51.27.084 E005.48.52.017
                                  N042.51.29.845 E005.48.44.697
                                  N042.51.32.697 E005.48.37.443
                                  N042.51.35.642 E005.48.30.258
                                  N042.51.38.677 E005.48.23.143
                                  N042.51.41.802 E005.48.16.101
                                  N042.51.45.017 E005.48.09.134
                                  N042.51.48.319 E005.48.02.245
                                  N042.51.51.708 E005.47.55.434
                                  N042.51.55.183 E005.47.48.705
                                  N042.51.58.744 E005.47.42.059
                                  N042.52.02.388 E005.47.35.498
                                  N042.52.06.114 E005.47.29.024
                                  N042.52.09.923 E005.47.22.639
                                  N042.52.13.812 E005.47.16.346
                                  N042.52.17.780 E005.47.10.145
                                  N042.52.21.827 E005.47.04.039
                                  N042.52.25.950 E005.46.58.030
                                  N042.52.30.149 E005.46.52.119
                                  N042.52.34.422 E005.46.46.309
                                  N042.52.38.769 E005.46.40.600
                                  N042.52.43.187 E005.46.34.996
                                  N042.52.47.675 E005.46.29.496
                                  N042.52.52.233 E005.46.24.104
                                  N042.52.56.859 E005.46.18.820
                                  N042.53.01.551 E005.46.13.647
                                  N042.53.06.307 E005.46.08.585
                                  N042.53.11.128 E005.46.03.637
                                  N042.53.16.010 E005.45.58.803
                                  N042.53.20.953 E005.45.54.086
                                  N042.53.25.955 E005.45.49.486
                                  N042.53.31.014 E005.45.45.006
                                  N042.53.36.130 E005.45.40.645
                                  N042.53.41.300 E005.45.36.407
                                  N042.53.46.523 E005.45.32.291
                                  N042.53.51.797 E005.45.28.300
                                  N042.53.57.121 E005.45.24.434
                                  N042.54.02.493 E005.45.20.695
                                  N042.54.07.912 E005.45.17.084
                                  N042.54.13.376 E005.45.13.601
                                  N042.54.18.883 E005.45.10.248
                                  N042.54.24.432 E005.45.07.026
                                  N042.54.30.020 E005.45.03.936
                                  N042.54.35.647 E005.45.00.979
                                  N042.54.41.310 E005.44.58.155
                                  N042.54.47.009 E005.44.55.466
                                  N042.54.52.740 E005.44.52.912
                                  N042.54.58.503 E005.44.50.494
                                  N042.55.04.296 E005.44.48.213
                                  N042.55.10.116 E005.44.46.069
                                  N042.55.15.963 E005.44.44.064
                                  N042.55.21.834 E005.44.42.197
                                  N042.55.27.727 E005.44.40.470
                                  N042.55.33.642 E005.44.38.882
                                  N042.55.39.576 E005.44.37.435
                                  N042.55.45.527 E005.44.36.128
                                  N042.55.51.493 E005.44.34.962
                                  N042.55.57.474 E005.44.33.938
                                  N042.56.03.466 E005.44.33.056
                                  N042.56.09.468 E005.44.32.316
                                  N042.56.15.479 E005.44.31.718
                                  N042.56.21.496 E005.44.31.262
                                  N042.56.27.518 E005.44.30.949
                                  N042.56.33.543 E005.44.30.779
                                  N042.56.39.569 E005.44.30.751
                                  N042.56.45.595 E005.44.30.867
                                  N042.56.51.617 E005.44.31.124
                                  N042.56.57.636 E005.44.31.525
                                  N042.57.03.648 E005.44.32.068
                                  N042.56.37.320 E005.50.33.887
