MAPS IRMA BASTIA CTR BASTIA              N042.41.11.000 E009.24.00.000 N042.41.28.600 E009.24.59.500 COLOR_BIA-CTR
                                         N042.27.09.500 E009.38.24.400 N042.27.09.500 E009.38.24.400 COLOR_BIA-CTR
                                         N042.27.09.500 E009.38.24.400 N042.26.35.100 E009.37.40.600 COLOR_BIA-CTR
                                         N042.26.35.100 E009.37.40.600 N042.26.35.100 E009.37.40.600 COLOR_BIA-CTR
                                         N042.26.35.100 E009.37.40.600 N042.26.03.600 E009.36.52.900 COLOR_BIA-CTR
                                         N042.26.03.600 E009.36.52.900 N042.26.03.600 E009.36.52.900 COLOR_BIA-CTR
                                         N042.26.03.600 E009.36.52.900 N042.25.35.300 E009.36.01.600 COLOR_BIA-CTR
                                         N042.25.35.300 E009.36.01.600 N042.25.35.300 E009.36.01.600 COLOR_BIA-CTR
                                         N042.25.35.300 E009.36.01.600 N042.25.10.400 E009.35.07.200 COLOR_BIA-CTR
                                         N042.25.10.400 E009.35.07.200 N042.25.10.400 E009.35.07.200 COLOR_BIA-CTR
                                         N042.25.10.400 E009.35.07.200 N042.24.49.000 E009.34.10.000 COLOR_BIA-CTR
                                         N042.24.49.000 E009.34.10.000 N042.24.49.000 E009.34.10.000 COLOR_BIA-CTR
                                         N042.24.49.000 E009.34.10.000 N042.24.31.400 E009.33.10.500 COLOR_BIA-CTR
                                         N042.24.31.400 E009.33.10.500 N042.24.31.400 E009.33.10.500 COLOR_BIA-CTR
                                         N042.24.31.400 E009.33.10.500 N042.24.17.600 E009.32.09.100 COLOR_BIA-CTR
                                         N042.24.17.600 E009.32.09.100 N042.24.17.600 E009.32.09.100 COLOR_BIA-CTR
                                         N042.24.17.600 E009.32.09.100 N042.24.07.800 E009.31.06.300 COLOR_BIA-CTR
                                         N042.24.07.800 E009.31.06.300 N042.24.07.800 E009.31.06.300 COLOR_BIA-CTR
                                         N042.24.07.800 E009.31.06.300 N042.24.02.100 E009.30.02.600 COLOR_BIA-CTR
                                         N042.24.02.100 E009.30.02.600 N042.24.02.100 E009.30.02.600 COLOR_BIA-CTR
                                         N042.24.02.100 E009.30.02.600 N042.24.00.500 E009.28.58.500 COLOR_BIA-CTR
                                         N042.24.00.500 E009.28.58.500 N042.24.00.500 E009.28.58.500 COLOR_BIA-CTR
                                         N042.24.00.500 E009.28.58.500 N042.24.02.900 E009.27.54.400 COLOR_BIA-CTR
                                         N042.24.02.900 E009.27.54.400 N042.24.02.900 E009.27.54.400 COLOR_BIA-CTR
                                         N042.24.02.900 E009.27.54.400 N042.24.09.500 E009.26.50.800 COLOR_BIA-CTR
                                         N042.24.09.500 E009.26.50.800 N042.24.09.500 E009.26.50.800 COLOR_BIA-CTR
                                         N042.24.09.500 E009.26.50.800 N042.24.20.100 E009.25.48.300 COLOR_BIA-CTR
                                         N042.24.20.100 E009.25.48.300 N042.24.20.100 E009.25.48.300 COLOR_BIA-CTR
                                         N042.24.20.100 E009.25.48.300 N042.24.34.700 E009.24.47.200 COLOR_BIA-CTR
                                         N042.24.34.700 E009.24.47.200 N042.24.34.700 E009.24.47.200 COLOR_BIA-CTR
                                         N042.24.34.700 E009.24.47.200 N042.24.49.000 E009.24.00.000 COLOR_BIA-CTR
                                         N042.24.49.000 E009.24.00.000 N042.24.49.000 E009.24.00.000 COLOR_BIA-CTR
                                         N042.24.49.000 E009.24.00.000 N042.41.11.000 E009.24.00.000 COLOR_BIA-CTR
